Word,EN_1,ES_1,EN_2,ES_2,EN_3,ES_3
chess board,A chess board has 64 squares!,¡Un tablero de ajedrez tiene 64 casillas!,Chess board — black and white squares!,¡Tablero de ajedrez — casillas negras y blancas!,Penny loves to play on the chess board!,¡A Penny le encanta jugar en el tablero de ajedrez!
pawn,The pawn is the smallest piece!,¡El peón es la pieza más pequeña!,Pawns move forward — never backward!,¡Los peones avanzan — ¡nunca hacia atrás!,Penny loves the little pawn!,¡A Penny le encanta el pequeño peón!
knight,Knight! It jumps in an L shape!,¡Caballo! ¡Salta en forma de L!,The knight can jump over other pieces!,¡El caballo puede saltar sobre otras piezas!,Knights are angry — careful!,¡Los caballos están enojados — ¡cuidado!
queen,Queen! The most powerful piece!,¡Reina! ¡La pieza más poderosa!,The queen can move anywhere!,¡La reina puede moverse a cualquier lugar!,Penny wants to be the queen!,¡Penny quiere ser la reina!
king,King! Keep him safe!,¡Rey! ¡Mantenlo a salvo!,The king is the most important piece!,¡El rey es la pieza más importante!,Penny says — protect the king!,¡Penny dice — ¡protege al rey!
rook,Rook! It moves left and right and up and down!,¡Torre! ¡Se mueve a la izquierda y derecha y arriba y abajo!,The rook is shaped like a tower!,¡La torre tiene forma de castillo!,This penguin loves the rook!,¡A este pingüino le encanta la torre!
bishop,Bishop! It moves in a diagonal line!,¡Alfil! ¡Se mueve en línea diagonal!,The bishop always stays on one color!,¡El alfil siempre se queda en un solo color!,Penny's favorite piece is the bishop!,¡La pieza favorita de Penny es el alfil!
square,Square! Every chess board has 64 of them!,¡Casilla! ¡Cada tablero tiene 64!,Each piece stands on one square!,¡Cada pieza está en una casilla!,Penny's chess square is black!,¡La casilla de Penny es negra!
row,Row! It goes left and right!,¡Fila! ¡Va de izquierda a derecha!,A chess board has 8 rows!,¡Un tablero de ajedrez tiene 8 filas!,Penny counts every row on the board!,¡Penny cuenta cada fila del tablero!
column,Column! It goes up and down!,¡Columna! ¡Va de arriba a abajo!,A chess board has 8 columns!,¡Un tablero de ajedrez tiene 8 columnas!,Count the columns with Penny — eight!,¡Cuenta las columnas con Penny — ¡ocho!
living room,Living room — where the family is!,¡Sala — donde está la familia!,Sit and watch TV in the living room!,¡Siéntate a ver televisión en la sala!,Penny wants to sit on your sofa!,¡Penny quiere sentarse en tu sofá!
kitchen,Kitchen! This is where we cook food!,¡Cocina! ¡Aquí cocinamos la comida!,The kitchen smells so good!,¡La cocina huele tan rico!,Penny loves to eat in the kitchen!,¡A Penny le encanta comer en la cocina!
bathroom,Bathroom! Wash your hands!,¡Baño! ¡Lávate las manos!,Brush your teeth in the bathroom!,¡Cepíllate los dientes en el baño!,Even penguins wash their hands!,¡Hasta los pingüinos se lavan las manos!
bedroom,Bedroom! Time to sleep!,¡Dormitorio! ¡Hora de dormir!,The bedroom is where you rest!,¡El dormitorio es donde descansas!,Penny sleeps in a cold bedroom!,¡Penny duerme en un dormitorio frío!
dining room,Dining room — where the family eats!,¡Comedor — donde la familia come!,Sit at the table in the dining room!,¡Siéntate en la mesa del comedor!,Penny wants to eat at your table!,¡Penny quiere comer en tu mesa!
laundry room,Laundry room — for clean clothes!,¡Lavandería — para ropa limpia!,Wash your clothes in the laundry room!,¡Lava tu ropa en la lavandería!,Penny has no clothes to wash!,¡Penny no tiene ropa que lavar!
garden,Garden! Where flowers and plants grow!,¡Jardín! ¡Donde crecen flores y plantas!,Plants need sun and water to grow!,¡Las plantas necesitan sol y agua para crecer!,Penny likes to walk in the garden!,¡A Penny le gusta caminar en el jardín!
